Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
THE LANAI,23,29.84,30.34,31.24,
THE LAURELS,9,56.99,59.80,62.61,
THE LENOX,14,36.89,43.34,46.78,
THE LEVELZ,10,36.47,38.37,40.82,
THE LIGHT @ CAIRNHILL,9,37.92,41.54,46.65,
THE LINE @ TANJONG RHU,15,33.87,36.99,44.29,
THE LOFT,10,46.14,48.81,51.09,
THE LUXURIE,19,29.86,31.08,32.43,
THE MADEIRA,23,23.95,25.62,27.39,
THE MAKENA,15,26.71,27.88,29.09,
THE MARBELLA,10,37.92,38.98,40.65,
THE MAYFAIR,22,26.14,28.92,33.47,
THE MERASAGA,10,38.98,43.31,45.88,
THE METROPOLITAN CONDO,3,34.71,39.74,43.99,
THE METZ,9,58.60,63.49,69.10,
THE MEYERISE,15,38.11,40.86,42.64,
THE MEZZO,12,33.97,35.90,38.46,
THE MILTONIA RESIDENCES,27,24.75,25.64,27.50,
THE MINTON,19,27.47,29.36,30.97,
THE MKZ,9,47.85,48.74,51.10,
THE MONTANA,10,37.43,42.81,48.43,
THE NAUTICAL,27,25.44,27.40,31.31,
THE NEXUS,21,33.33,38.60,40.77,
THE OCEANFRONT @ SENTOSA COVE,4,36.37,39.02,41.79,
THE ORCHARD RESIDENCES,9,56.93,63.02,71.43,
THE PALETTE,18,26.26,28.57,31.19,
THE PANORAMA,20,32.68,38.46,43.02,
THE PARC CONDO,5,30.30,31.91,35.16,
THE PATERSON,9,41.33,43.75,46.89,
THE PATERSON EDGE,9,42.02,44.57,45.65,
THE PEAK @ CAIRNHILL I,9,46.88,49.09,52.73,
THE PEAK @ CAIRNHILL II,9,42.56,45.64,48.54,
THE PEARL @ MOUNT FABER,4,30.33,35.14,37.14,
THE PETALS,23,22.31,23.25,24.72,
THE PIER AT ROBERTSON,9,54.81,58.18,65.33,
THE PLAZA,7,34.67,37.33,41.60,
THE POIZ RESIDENCES,13,47.22,51.28,54.70,
THE PROMENADE@PELIKAT,19,31.93,37.78,38.10,
THE QUARTZ,19,24.19,25.93,27.32,
THE QUINN,19,31.00,35.85,37.95,
THE RAINTREE,21,26.95,27.99,28.86,
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,4,46.77,48.05,48.95,
THE RISE @ OXLEY - RESIDENCES,9,50.40,54.92,58.28,
THE RIVERWALK,1,36.91,40.23,45.80,
THE ROCHESTER RESIDENCES,5,37.28,41.14,43.71,
THE SAIL @ MARINA BAY,1,48.88,53.01,56.92,
THE SANTORINI,18,30.52,35.71,36.73,
THE SCALA,19,36.10,37.82,40.44,
THE SCOTTS TOWER,9,53.94,56.91,66.58,
THE SEA VIEW,15,34.75,37.02,38.20,
THE SEAFRONT ON MEYER,15,33.91,34.89,36.24,
THE SEAWIND,15,35.46,38.57,40.34,
THE SHELFORD,11,39.22,42.02,46.62,
THE SHORE RESIDENCES,15,41.09,44.16,45.45,
THE SIERRA,10,26.41,28.12,37.10,
THE SIXTH AVENUE RESIDENCES,10,32.46,35.37,38.89,
THE SKYWOODS,23,30.87,32.87,37.85,
THE SORRENTO,5,40.19,46.54,50.61,
THE SOUND,15,34.29,36.36,38.67,
THE SPRINGBLOOM,19,28.48,29.13,30.77,
THE STERLING,21,26.67,28.46,30.28,
THE SUITES AT CENTRAL,9,50.28,51.42,61.49,
THE SUNNY SPRING,14,26.21,27.18,29.13,
THE TANAMERA,16,21.41,22.76,24.70,
THE TEMBUSU,19,33.61,36.79,43.12,
THE TENNERY,23,31.25,33.33,35.09,
THE TESSARINA,10,32.22,33.68,34.88,
THE TREVOSE,11,34.94,36.30,37.71,
THE TRILINQ,5,38.60,42.42,45.50,
THE TRILLIUM,9,38.83,40.88,44.04,
THE TRIZON,10,35.61,37.21,39.95,
THE TROPICA,18,23.63,24.64,25.89,
THE VENUE RESIDENCES,13,34.90,36.04,39.30,
THE VERMONT ON CAIRNHILL,9,48.39,48.82,59.18,
THE VISION,5,34.27,35.45,37.43,
THE VUE,19,32.59,41.03,41.09,
THE WARREN,23,22.82,23.98,26.31,
THE WATER EDGE,14,40.00,41.97,44.62,
THE WATERINA,14,29.91,31.30,32.86,
THE WATERSIDE,15,25.63,27.64,29.91,
THE WHARF RESIDENCE,9,47.97,52.53,57.58,
THE WINDSOR,20,18.34,18.90,22.90,
THOMSON 800,11,25.83,26.52,28.46,
THOMSON EURO-ASIA,11,38.10,40.25,43.23,
THOMSON GRAND,20,26.00,27.17,28.41,
THOMSON IMPRESSIONS,20,33.46,38.24,44.19,
THOMSON THREE,20,31.09,35.29,40.22,
THOMSON VIEW CONDO,20,18.92,19.29,20.56,
TIARA,9,34.48,36.11,37.82,
TIONG BAHRU ESTATE,3,32.56,39.31,43.42,
TRE RESIDENCES,14,45.45,46.88,52.56,
TREASURE ON BALMORAL,10,36.08,37.43,38.71,
TREE HOUSE,23,25.00,26.67,28.41,
TRELLIS TOWERS,12,29.31,33.50,37.88,
TRESALVEO,20,28.87,33.87,34.60,
TREVISTA,12,31.46,34.29,36.16,
TREVOSE PARK,11,28.99,33.54,34.85,
TRIBECA,9,37.26,42.52,53.12,
TRILIGHT,11,40.02,43.24,46.59,
TRILIVE,19,24.40,32.76,35.71,
TURQUOISE,4,34.67,35.27,37.21,
TWIN REGENCY,3,44.47,47.07,50.56,
UBER 388,16,26.51,32.80,34.17,
UE SQUARE,9,34.01,38.10,41.15,
URBAN SUITES,9,49.31,53.76,58.06,
URBAN VISTA,16,34.64,38.94,43.90,
V ON SHENTON,1,53.06,61.36,65.85,
VACANZA @ EAST,14,28.37,30.66,32.35,
VALLEY PARK,10,31.75,33.03,35.40,
VARSITY PARK CONDO,5,29.70,30.82,35.06,
VERSAILLES,15,21.72,22.77,25.87,
VERSILIA ON HAIG,15,29.49,29.68,31.36,
VIBES @ EAST COAST,15,36.94,42.86,45.51,
VIDA,9,53.19,55.32,57.45,
VILLA DELLE ROSE,10,30.01,31.36,35.45,
VILLA MARINA,15,26.07,27.65,30.23,
VILLAGE @ PASIR PANJANG,5,28.26,31.68,35.10,
VISIONCREST,9,47.37,51.22,56.25,
VISTA RESIDENCES,12,36.14,37.73,39.46,
VIVA,11,47.55,50.48,54.00,
VIVA VISTA,5,51.77,54.92,57.14,
VIVACE,9,53.87,57.84,61.68,
VIZ AT HOLLAND,10,34.86,37.68,42.20,
VOLARI,10,41.18,41.51,42.28,
VUE 8 RESIDENCE,18,27.87,30.56,32.43,
WATER PLACE,15,30.70,31.25,31.82,
WATERBANK AT DAKOTA,14,39.06,43.64,51.11,
WATERFALL GARDENS,10,33.97,37.75,39.22,
WATERFORD RESIDENCE,9,38.82,41.24,43.05,
WATERFRONT GOLD,16,29.51,32.18,35.26,
WATERFRONT ISLE,16,28.32,30.54,33.24,
WATERFRONT KEY,16,28.34,29.20,30.54,
WATERFRONT WAVES,16,27.17,28.24,29.46,
WATERMARK ROBERTSON QUAY,9,44.68,47.98,50.28,
WATERSCAPE AT CAVENAGH,9,39.20,42.16,46.15,
WATERTOWN,19,34.26,36.89,38.80,
WATERVIEW,18,25.76,26.92,28.95,
WEST BAY CONDO,5,27.47,29.09,31.00,
WESTCOVE CONDO,5,25.65,26.28,28.57,
WHITEHAVEN,5,40.76,45.45,48.00,
WING FONG MANSIONS,14,22.88,24.07,29.55,
WOODGROVE CONDO,25,22.84,24.04,25.79,
WOODHAVEN,25,28.84,30.97,32.61,
YISHUN EMERALD,27,21.85,22.70,24.30,
YONG AN PARK,9,33.51,35.52,40.19,
ZEDGE,11,36.56,38.06,41.67,
ZENITH,10,39.46,45.71,50.00,
"*The above figures are for non-landed residential buildings with at lea contracts signed in the quarter
** To convert from $ psm to $ psf, divide by a factor 10.764",,,,,
st 10 rental,,,,,
