S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
70,PARK GREEN,RIVERVALE LINK,19,Executive Condominium,3,2500,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
71,PARK GREEN,RIVERVALE LINK,19,Executive Condominium,3,2700,1300 to 1400,1350,NA,19-Aug,103.8995612,1.3807836,"rivervale link, singapore"
72,THE FLORIDA,HOUGANG AVENUE 7,19,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.8982756,1.3677419,"hougang ave 7, singapore"
73,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2725,1400 to 1500,1450,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
74,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2900,1300 to 1400,1350,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
75,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,3150,1100 to 1200,1150,NA,19-Aug,103.8522641,1.3465053,"bishan street 11, singapore"
76,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2900,1400 to 1500,1450,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
77,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,4,4200,1400 to 1500,1450,NA,19-Aug,103.8522641,1.3465053,"bishan street 11, singapore"
78,BISHAN LOFT,BISHAN STREET 11,20,Executive Condominium,3,3400,1300 to 1400,1350,NA,19-Aug,103.8522641,1.3465053,"bishan street 11, singapore"
79,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
80,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,2900,1200 to 1300,1250,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
81,NUOVO,ANG MO KIO AVENUE 9,20,Executive Condominium,3,4250,2400 to 2500,2450,NA,19-Aug,103.8476662,1.3801401,"ang mo kio ave 9, singapore"
82,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2600,1000 to 1100,1050,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
83,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2750,2000 to 2100,2050,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
84,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
85,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
86,WESTWOOD RESIDENCES RESIDENCES,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1000 to 1100,1050,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
87,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1300 to 1400,1350,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
88,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
