Name,Postal District,"25th percentile
Percentile",Median,"75th percentile
Percentile",Number
MARINA BAY SUITES,1,41.67,44.51,47.33,30
MARINA COLLECTION,4,36.45,37.64,39.08,10
MARINA ONE RESIDENCES,1,53.57,56.47,59.7,50
MARTIN PLACE RESIDENCES,9,46.88,51.55,55.67,30
MAYSPRINGS,23,22.12,24.85,26.77,40
MEADOWS @ PEIRCE,26,22.94,24.78,29.66,11
MELROSE PARK,10,37.42,39.07,40.22,16
MELVILLE PARK,18,22.99,24.72,26.44,93
MERAPRIME,3,46.23,52.67,55.45,18
MERAWOODS,23,20,21.55,23.2,14
MI CASA,23,22.35,24.43,25.48,12
MIDTOWN RESIDENCES,19,33.33,36.67,42.86,19
MILL POINT,10,42.68,48.83,56.56,11
MIRAGE TOWER,9,30.26,33.6,44.34,30
MODENA,18,25.93,27.56,29.69,11
MONTEBLEU,11,36.79,37.74,39.62,13
MONTEREY PARK CONDO,5,27.38,29.05,31.81,12
MY MANHATTAN,18,33.75,35.98,42.31,33
NATURA@HILLVIEW,23,31.82,36.73,38.78,27
NEPTUNE COURT,15,20.09,22.06,23.28,26
NEWEST,5,21.59,38.98,43.18,11
NEWTON GEMS,11,38.22,40.44,41.71,34
NEWTON SUITES,11,58.28,63.39,66.23,15
NIN RESIDENCE,13,32.82,35.28,42.81,24
NINE RESIDENCES,27,28.24,30.77,32.58,17
NINETEEN SHELFORD ROAD,11,31.82,34.43,36.51,25
NORTH PARK RESIDENCES,27,35.38,38.46,42.5,157
NORTHVALE,23,20.3,21.78,23.27,33
NOTTINGHILL SUITES,21,40,44.59,45.95,21
NV RESIDENCES,18,24.27,26.35,30.43,41
OASIS @ ELIAS,18,23.08,23.97,26.37,15
OCEAN PARK,15,23.08,27.27,30.77,11
OKIO,12,43.4,47.44,50,15
OLEANAS RESIDENCE,9,31.58,32.9,33.96,10
OLEANDER TOWERS,12,29.04,30.84,31.88,25
ONE AMBER,15,32.79,33.87,37.08,46
ONE DEVONSHIRE,9,57.52,60.17,65.63,19
ONE DUSUN RESIDENCES,12,39.34,42.22,44.9,21
ONE JERVOIS,10,39.13,40.36,42.42,26
ONE SHENTON,1,45.45,50,57.69,53
ONE ST MICHAEL'S,12,28.74,29.49,31.03,10
ONE-NORTH RESIDENCES,5,40.66,44.16,50,42
OPTIMA @ TANAH MERAH,16,30.07,32.97,35.29,30
ORCHARD SCOTTS,9,43.28,47.54,50.35,13
ORCHID PARK CONDO,27,20.75,22.17,23.58,33
OUE TWIN PEAKS,9,60,64.6,69.23,76
PALM GARDENS,23,20.44,22,23.03,16
PALM ISLES,17,26.67,29.34,33.33,30
PANDAN VALLEY,21,21.64,23.52,24.73,26
PARC CENTROS,19,25.47,30.99,39.53,27
PARC ELEGANCE,15,37.25,41.36,43.24,18
PARC EMILY,9,41.49,45.78,50.93,41
PARC IMPERIAL,5,48.68,53.29,54.05,24
PARC OASIS,22,24.22,25,25.88,50
PARC OLYMPIA,17,24.66,27.74,30.83,40
PARC PALAIS,21,20,21.05,23.61,19
PARC ROSEWOOD,25,32.14,37.5,37.5,57
PARC SOPHIA,9,41.94,45.1,50.98,26
PARC VERA,19,27.16,28.77,30.3,21
PARC VISTA,22,23.47,24.24,25,49
PARK INFINIA AT WEE NAM,11,44.59,48.53,52.24,41
PARK NATURA,23,23.92,26.12,27.16,10
PARK VIEW MANSION,22,19.98,20.73,22.45,18
PARKSHORE,15,23.61,25.9,29.26,12
PARKVIEW APARTMENTS,23,22.38,23.08,24.46,17
PARVIS,10,39.56,43.04,48.65,25
PATERSON RESIDENCE,9,43.17,43.8,47.32,14
PATERSON SUITES,9,40.82,43.01,44.42,16
PAVILION 11,11,31.16,35.14,36.23,19
PAYA LEBAR RESIDENCES,14,30.17,32.11,33.33,14
PEBBLE BAY,15,30.68,34.09,35.94,43
PEOPLE'S PARK COMPLEX,1,35.87,43.79,49.4,26
PINEWOOD GARDENS,10,27.42,28.47,31.78,11
PRESTIGE HEIGHTS,12,47.22,48.75,53.13,19
PRINCIPAL GARDEN,3,46.67,50,54.35,141
Q BAY RESIDENCES,18,25.52,29.01,34.69,31
QUEENS,3,34.26,36.32,40.57,59
QUESTA @ DUNMAN,15,36.99,38.57,42.13,17
REFLECTIONS AT KEPPEL BAY,4,42.25,45.05,49.67,107
REGENCY PARK,10,33.26,36.19,37.7,22
REGENT GROVE,23,20.83,22.28,23.68,26
REGENT HEIGHTS,23,21.57,22.11,23.16,24
REGENT PARK,5,28.57,30.26,31.33,21
REGENT RESIDENCES,12,31.58,33.55,35.94,35
REGENTVILLE,19,22.33,23.22,25,28
RESIDENCES @ EVELYN,11,45,47.19,48.89,21
REZI 26,14,37.32,39.44,41.46,13
RIDGEWOOD,10,26.26,28.45,30.73,23
RIO VISTA,19,22.12,23.08,23.68,18
RIPPLE BAY,18,27.78,29.86,33.43,48
RIS GRANDEUR,18,22.02,23.83,27.06,15
RIVER ISLES,19,23.64,25,26.5,31
RIVER PLACE,3,39.47,41.79,44.59,69
RIVERBANK @ FERNVALE,28,26.8,28.41,36,17
RIVERBAY,12,36.07,44.31,45.83,10
RIVERGATE,9,45.71,49.32,55.21,43
RIVERSAILS,19,26.7,27.44,35.11,25
RIVERSOUND RESIDENCE,19,25.7,28.49,29.86,12
RIVERTREES RESIDENCES,28,29.41,33.33,35.19,11
RIVERVALE CREST,19,22.55,23.53,24.27,17
ROBERTSON 100,9,47.57,50.28,52.63,24
ROBIN RESIDENCES,10,49.45,57.34,61.18,12
ROBINSON SUITES,1,61.7,64.44,66.67,18
ROSEWOOD,25,22.95,23.85,24.19,24
